,bn_pt,m,n,method_1,method_2,ratio
316,15,2,1,apm,itv,0.6267450698027921
317,15,2,1,itv,bnw,0.4394975799031961
318,15,2,2,bnw,apm,0.985839433577343
319,15,2,2,apm,itv,0.9935197407896316
320,15,2,2,itv,bnw,0.9793591743669747
321,15,2,3,bnw,apm,0.6354254170166806
322,15,2,3,apm,itv,0.6797871914876595
323,15,2,3,itv,bnw,0.5763030521220849
324,15,2,4,bnw,apm,0.4314572582903316
325,15,2,4,apm,itv,0.7276691067642705
326,15,2,4,itv,bnw,0.4158566342653706
327,15,2,5,bnw,apm,0.5991039641585664
328,15,2,5,apm,itv,0.984759390375615
329,15,2,5,itv,bnw,0.5849033961358454
330,15,3,1,bnw,apm,0.6469058762350494
331,15,3,1,apm,itv,0.7213488539541582
332,15,3,1,itv,bnw,0.5711428457138286
333,15,3,2,bnw,apm,0.6354254170166806
334,15,3,2,apm,itv,0.6797871914876595
335,15,3,2,itv,bnw,0.5763030521220849
336,15,3,3,bnw,apm,0.9334373374934998
337,15,3,3,apm,itv,0.9788791551662066
338,15,3,3,itv,bnw,0.9168766750670027
339,15,3,4,bnw,apm,0.6281851274050962
340,15,3,4,apm,itv,0.6829073162926517
341,15,3,4,itv,bnw,0.3930557222288892
342,15,3,5,bnw,apm,0.5034201368054723
343,15,3,5,apm,itv,0.6684267370694827
344,15,3,5,itv,bnw,0.2576503060122405
345,15,4,1,bnw,apm,0.8553942157686307
346,15,4,1,apm,itv,0.9789191567662706
347,15,4,1,itv,bnw,0.8456738269530781
348,15,4,2,bnw,apm,0.4314572582903316
349,15,4,2,apm,itv,0.7276691067642705
350,15,4,2,itv,bnw,0.4158566342653706
351,15,4,3,bnw,apm,0.6281851274050962
352,15,4,3,apm,itv,0.6829073162926517
353,15,4,3,itv,bnw,0.3930557222288892
354,15,4,4,bnw,apm,0.9462378495139806
355,15,4,4,apm,itv,0.9874794991799672
356,15,4,4,itv,bnw,0.9338773550942038
357,15,4,5,bnw,apm,0.36897475899035964
358,15,4,5,apm,itv,0.7087883515340614
359,15,4,5,itv,bnw,0.4579783191327653
360,15,5,1,bnw,apm,0.8096323852954118
361,15,5,1,apm,itv,0.9870394815792631
362,15,5,1,itv,bnw,0.812192487699508
363,15,5,2,bnw,apm,0.5991039641585664
364,15,5,2,apm,itv,0.984759390375615
365,15,5,2,itv,bnw,0.5849033961358454
366,15,5,3,bnw,apm,0.5034201368054723
367,15,5,3,apm,itv,0.6684267370694827
368,15,5,3,itv,bnw,0.2576503060122405
369,15,5,4,bnw,apm,0.36897475899035964
370,15,5,4,apm,itv,0.7087883515340614
371,15,5,4,itv,bnw,0.4579783191327653
372,15,5,5,bnw,apm,0.8375935037401496
373,15,5,5,apm,itv,0.9938397535901436
374,15,5,5,itv,bnw,0.8314332573302932
375,16,1,1,bnw,apm,0.9208368334733389
376,16,1,1,apm,itv,0.9893995759830393
377,16,1,1,itv,bnw,0.9127165086603464
378,16,1,2,bnw,apm,0.6046641865674627
379,16,1,2,apm,itv,0.7073082923316932
380,16,1,2,itv,bnw,0.5087403496139845
381,16,1,3,bnw,apm,0.5057402296091844
382,16,1,3,apm,itv,0.8163126525061002
383,16,1,3,itv,bnw,0.46949877995119804
384,16,1,4,bnw,apm,0.5765030601224049
385,16,1,4,apm,itv,0.9961998479939198
386,16,1,4,itv,bnw,0.577503100124005
387,16,1,5,bnw,apm,0.5986639465578624
388,16,1,5,apm,itv,0.9961198447937918
389,16,1,5,itv,bnw,0.5991039641585664
390,16,2,1,bnw,apm,0.6046641865674627
391,16,2,1,apm,itv,0.7073082923316932
392,16,2,1,itv,bnw,0.5087403496139845
393,16,2,2,bnw,apm,0.9661586463458538
394,16,2,2,apm,itv,0.9881595263810552
395,16,2,2,itv,bnw,0.9551582063282531
396,16,2,3,bnw,apm,0.43225729029161164
397,16,2,3,apm,itv,0.7553902156086243
398,16,2,3,itv,bnw,0.4110964438577543
399,16,2,4,bnw,apm,0.5451418056722269
400,16,2,4,apm,itv,0.8370734829393176
401,16,2,4,itv,bnw,0.4235769430777231
402,16,2,5,bnw,apm,0.43453738149525983
403,16,2,5,apm,itv,0.9353574142965718
404,16,2,5,itv,bnw,0.375015000600024
405,16,3,1,bnw,apm,0.5057402296091844
406,16,3,1,apm,itv,0.8163126525061002
407,16,3,1,itv,bnw,0.46949877995119804
408,16,3,2,bnw,apm,0.43225729029161164
409,16,3,2,apm,itv,0.7553902156086243
410,16,3,2,itv,bnw,0.4110964438577543
411,16,3,3,bnw,apm,0.9607184287371495
412,16,3,3,apm,itv,0.9906396255850234
413,16,3,3,itv,bnw,0.9513580543221729
414,16,3,4,bnw,apm,0.5251810072402896
415,16,3,4,apm,itv,0.701908076323053
416,16,3,4,itv,bnw,0.46789871594863797
417,16,3,5,bnw,apm,0.5227009080363214
418,16,3,5,apm,itv,0.7222688907556303
419,16,3,5,itv,bnw,0.3812952518100724
420,16,4,1,bnw,apm,0.5765030601224049
421,16,4,1,apm,itv,0.9961998479939198
422,16,4,1,itv,bnw,0.577503100124005
423,16,4,2,bnw,apm,0.5451418056722269
424,16,4,2,apm,itv,0.8370734829393176
425,16,4,2,itv,bnw,0.4235769430777231
426,16,4,3,bnw,apm,0.5251810072402896
427,16,4,3,apm,itv,0.701908076323053
428,16,4,3,itv,bnw,0.46789871594863797
429,16,4,4,bnw,apm,0.9807992319692788
430,16,4,4,apm,itv,0.9735189407576303
431,16,4,4,itv,bnw,0.9561582463298532
432,16,4,5,bnw,apm,0.48953958158326333
433,16,4,5,apm,itv,0.7485499419976799
434,16,4,5,itv,bnw,0.4280171206848274
435,16,5,1,bnw,apm,0.5986639465578624
436,16,5,1,apm,itv,0.9961198447937918
437,16,5,1,itv,bnw,0.5991039641585664
438,16,5,2,bnw,apm,0.43453738149525983
439,16,5,2,apm,itv,0.9353574142965718
440,16,5,2,itv,bnw,0.375015000600024
441,16,5,3,bnw,apm,0.5227009080363214
